Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
fragmentation,Specifies the mode by which MS2 and MS3 ions are generated,"CID, ETD, EThcD, HCD, not applicable",,,False,ManifestColumn,,sage.annotations-experimentalData.fragmentation-0.0.2,,string,mass spectrometry
CID,"Collision-induced dissociation (CID); a fragmentation method in which peptide ions are activated by collision with neutral gas molecules, generating b- and y-type fragment ions primarily from peptide backbone cleavage",,,,,fragmentation,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1000133?lang=en,,string,mass spectrometry
ETD,"Electron transfer dissociation (ETD); a fragmentation method in which electrons are transferred to multiply-charged peptide cations, generating c- and z-type fragment ions particularly suited for analysis of post-translational modifications",,,,,fragmentation,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1000598?lang=en,,string,mass spectrometry
EThcD,"Electron transfer/higher-energy collision dissociation (EThcD); a hybrid fragmentation method combining ETD and HCD to generate both c/z-type and b/y-type fragment ions, providing complementary sequence coverage especially for phosphopeptide analysis",,,,,fragmentation,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1002631,,string,mass spectrometry
HCD,"Higher-energy collisional dissociation (HCD); an Orbitrap-based fragmentation method that produces b- and y-type fragment ions with higher energy than CID, enabling high-resolution and high-mass-accuracy MS2 spectra",,,,,fragmentation,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1002481,,string,mass spectrometry
not applicable,Indicates that fragmentation was not used.,,,,,fragmentation,,,,string,mass spectrometry
