Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
runType,,"singleEnd, pairedEnd",,,True,DataProperty,,sage.annotations-ngs.runType-0.0.2,,string,sequencing
singleEnd,A library preparation that results in the creation of a library of 5' ends of DNA.,,,,,runType,,Sage Bionetworks,,string,sequencing
pairedEnd,A library preparation that results in the creation of a library of the 5' and 3' ends of DNA or cDNA fragments using adaptors and endonucleases. The preparation may or may not include cloning process.,,,,,runType,,http://purl.obolibrary.org/obo/OBI_0001852,,string,sequencing
