Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
nucleicAcidType,The nucleic acid type of the biospecimen which includes DNA (deoxyribonucleic acid) and RNA (ribonucleic acid),"RNA, DNA, Not applicable",,,False,ManifestColumn,,sage.annotations-ngs.nucleicAcidType-0.0.3,,string,biospecimen
RNA,ribonucleic acid,,,,,nucleicAcidType,,Sage Bionetworks,,string,biospecimen
DNA,Deoxyribonucleic acid,,,,,nucleicAcidType,,Sage Bionetworks,,string,biospecimen
Not applicable,,,,,,nucleicAcidType,,Sage Bionetworks,,string,biospecimen
