Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
analysisSoftware,Software used for data processing and quantification,"Alamar Pipeline, DIA-NN, MaxQuant, ProteomeDiscoverer, Skyline, Spectronaut",,,True,ManifestColumn,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1001456?lang=en,,string,proteomics
Alamar Pipeline,The Alamar Analytics pipeline; a proprietary data processing workflow for proteomics data analysis,,,,,analysisSoftware,,https://alamarbio.com/,,string,proteomics
DIA-NN,"A deep neural network-based software tool for data-independent acquisition proteomics data analysis, enabling fast and accurate peptide and protein identification and quantification (product page: https://github.com/vdemichev/DiaNN )",,,,,analysisSoftware,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1003253?lang=en,,string,proteomics
MaxQuant,"A quantitative proteomics software package designed for analyzing large mass spectrometric datasets, supporting label-free and labeled quantification approaches (product page:https://www.maxquant.org/)",,,,,analysisSoftware,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1001583?lang=en,,string,proteomics
ProteomeDiscoverer,"Thermo Scientific Proteome Discoverer; a software platform for protein identification and quantification from mass spectrometry data, supporting TMT and other quantitation workflows (product page: https://www.thermofisher.com/us/en/home/industrial/mass-spectrometry/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-software/multi-omics-data-analysis/proteome-discoverer-software.html)",,,,,analysisSoftware,,https://www.thermofisher.com/us/en/home/industrial/mass-spectrometry/liquid-chromatography-mass-spectrometry-lc-ms/lc-ms-software/multi-omics-data-analysis/proteome-discoverer-software.html,,string,proteomics
Skyline,"An open-source software tool for building, analyzing, and sharing targeted mass spectrometry experiments, including SRM/MRM and PRM workflows (product page: https://skyline.ms/ )",,,,,analysisSoftware,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1002546?lang=en,,string,proteomics
Spectronaut,"A software platform for data-independent acquisition (DIA) proteomics data analysis, enabling deep proteome profiling and quantification (product page: https://biognosys.com/software/spectronaut/ )",,,,,analysisSoftware,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1001327?lang=en,,string,proteomics
