Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
analyteLevel,Molecular level at which quantification is performed,"peptide, protein, proteoform, PTM site",,,True,ManifestColumn,,http://purl.obolibrary.org/obo/MS_1001085,,string,proteomics
peptide,A molecule of low molecular weight that is composed of two or more amino acid residues.,,,,,analyteLevel,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1000860?lang=en,,string,proteomics
protein,A biological macromolecule composed of one or more polypeptide chains folded into a specific three-dimensional structure; the primary unit of quantification in shotgun proteomics experiments,,,,,analyteLevel,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1000882?lang=en,,string,proteomics
proteoform,"A specific molecular form of a protein product encoded by a single gene, defined by the combination of genetic variation, alternative splicing, and post-translational modifications present on a single protein molecule",,,,,analyteLevel,,https://doi.org/10.1038/nmeth.2369,,string,proteomics
PTM site,"A specific amino acid residue on a protein that is subject to post-translational modification (PTM), such as phosphorylation, ubiquitination, or glycosylation; used when quantification is reported at the level of individual modification sites rather than whole proteins or peptides",,,,,analyteLevel,,MARMO-AD,,string,proteomics
