Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
acquistionMethod,The strategy used to select and fragment precursor ions during mass spectrometry data collection,"data-dependent acquisition, data-independent acquisition, targeted acquisition",,,False,ManifestColumn,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1001456?lang=en,,string,proteomics
data-dependent acquisition,A mass spectrometry acquisition strategy in which the instrument dynamically selects the most abundant precursor ions detected in a survey scan for subsequent fragmentation and MS2 analysis,,,,,acquistionMethod,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1003221,,string,proteomics
data-independent acquisition,"A mass spectrometry acquisition strategy in which all precursor ions within a defined m/z isolation window are fragmented simultaneously, regardless of abundance",,,,,acquistionMethod,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1003215,,string,proteomics
targeted acquisition,"A mass spectrometry acquisition strategy in which a predefined set of specific precursor and product ion pairs are selectively monitored, as in selected reaction monitoring (SRM/MRM) or parallel reaction monitoring (PRM)",,,,,acquistionMethod,,https://www.ebi.ac.uk/ols4/ontologies/ms/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FMS_1003905?lang=en,,string,proteomics
