Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
panelType,Biological panel category (immunoassays),"abeta, custom, inflammation, neuro, saa, CNS",,,False,ManifestColumn,,MARMO-AD,,string,immunoassay
abeta,"A panel targeting amyloid beta (Abeta) peptide species — including total Aβ or multiple isoforms (e.g. Abeta40, Abeta42) — commonly measured as biomarkers of amyloid pathology in Alzheimer's disease research.",,,,,panelType,,https://pubmed.ncbi.nlm.nih.gov/20157306/,,string,immunoassay
custom,"A user-defined or study-specific panel not captured by a standard biological category. Contributors should provide additional documentation describing the panel targets, ideally using established identifiers such as UniProt IDs or HGNC gene symbols.",,,,,panelType,,N/A,,string,immunoassay
inflammation,"A panel targeting inflammatory mediators, including cytokines, chemokines, and other immune signaling proteins, used to characterize neuroinflammatory or systemic inflammatory states.",,,,,panelType,,"https://www.mesoscale.com/en/applications/inflammation/cytokines_,-a-,_chemokines",,string,immunoassay
neuro,"A panel targeting biomarkers of neurodegenerative disease (specifically: NfL, GFAP, total Tau)",,,,,panelType,,https://www.mesoscale.com/products/s-plex-neurology-panel-1-human-kit-k15639s/,,string,immunoassay
saa,"A panel targeting serum amyloid A (SAA), an acute-phase apolipoprotein that can increase more than 1000-fold during acute inflammation and is studied as a biomarker in neurodegeneration, autoimmune diseases, and other inflammatory conditions.",,,,,panelType,,https://alamarbio.com/products-and-services/nulisaseq-cns-disease-panel/,,string,immunoassay
CNS,"A NULISASeq panel targeting 120+ neuro-specific and inflammatory proteins, including key biomarkers of amyloid and tau pathologies, synaptic function, neurodegeneration, and inflammation.",,,,,panelType,,https://alamarbio.com/products-and-services/nulisaseq-cns-disease-panel/,,string,immunoassay
