Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
materialOrigin,Facility where sample was collected,"IU, JAX, Pitt, UCI_TMF",,,False,DataProperty,,sage.annotations-neuro.materialOrigin-0.0.1,,string,MODEL-AD
IU,Indiana University,,,,,materialOrigin,,https://www.indiana.edu/,,string,MODEL-AD
JAX,The Jackson Laboratory,,,,,materialOrigin,,https://www.jax.org,,string,MODEL-AD
Pitt,The University of Pittsburgh NIH NeuroBioBank Brain and Tissue Repository,,,,,materialOrigin,,https://neurobiobank.nih.gov/,,string,MODEL-AD
UCI_TMF,"University of California, Irvine Transgenic Mouse Facility",,,,,materialOrigin,,https://www.research.uci.edu/facilities-services/tmf/index.html,,string,MODEL-AD
