Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
apoeGenotype,Apolipoprotein E genotype,"22, 23, 24, 33, 34, 44",,,False,ManifestColumn,,sage.annotations-clinical.apoeGenotype-0.0.2,,string,clinical
22,E2E2,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
23,E2E3,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
24,E2E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
33,E3E3,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
34,E3E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
44,E4E4,,,,,apoeGenotype,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,string,clinical
