Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
race,Race,"American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, White, Multiracial, Other race, Preferred not to answer, Unknown, Not collected, Not applicable",,,False,ManifestColumn,,sage.annotations-demographics.race-0.0.2,,string,demographics
American Indian or Alaska Native,"A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment",,,,,race,,https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI%20Thesaurus&code=C41259,,string,demographics
Asian,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",,,,,race,,https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI%20Thesaurus&code=C41260,,string,demographics
Black or African American,A person having origins in any of the Black racial groups of Africa. Terms such as 'Haitian' or 'Negro' can be used in addition to 'Black or African American',,,,,race,,https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI%20Thesaurus&code=C16352,,string,demographics
Native Hawaiian or Other Pacific Islander,"A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands",,,,,race,,https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI%20Thesaurus&code=C41219,,string,demographics
White,"A person having origins in any of the original peoples of Europe, the Middle East, or North Africa",,,,,race,,https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI%20Thesaurus&code=C41261,,string,demographics
